epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.167,1.41497,2.86479,1.51768,0.47294,0.32714,0.30574,0.15645,1.48967,2.15546,1.53183,0.000237029,0.000237029,0.000237029
2,736.979,1.36061,2.00062,1.48606,0.52746,0.38957,0.39578,0.2083,1.47676,1.88727,1.50008,0.000465623,0.000465623,0.000465623
3,1087.57,1.31966,1.8422,1.46108,0.55432,0.41593,0.42503,0.22675,1.4307,1.79488,1.46921,0.000684793,0.000684793,0.000684793
4,1438.14,1.28891,1.75719,1.43148,0.58298,0.43575,0.45373,0.24744,1.41487,1.7213,1.42095,0.000671588,0.000671588,0.000671588
5,1779.77,1.25705,1.67424,1.41363,0.62302,0.45629,0.49826,0.27847,1.38561,1.65547,1.40692,0.000657451,0.000657451,0.000657451
6,2113.95,1.24608,1.59383,1.38859,0.67185,0.47327,0.52232,0.29667,1.35088,1.53039,1.38278,0.000643314,0.000643314,0.000643314
7,2460.37,1.22693,1.53833,1.37149,0.67197,0.49321,0.53443,0.30768,1.31786,1.48628,1.36325,0.000629177,0.000629177,0.000629177
8,2806.06,1.20672,1.49699,1.36193,0.70725,0.49869,0.56119,0.32077,1.33268,1.43211,1.36619,0.00061504,0.00061504,0.00061504
9,3156.9,1.17858,1.43953,1.34303,0.72357,0.49697,0.5626,0.32817,1.30235,1.37746,1.34558,0.000600902,0.000600902,0.000600902
10,3494.01,1.17738,1.41383,1.34395,0.72479,0.51711,0.58181,0.33807,1.29799,1.36577,1.32499,0.000586765,0.000586765,0.000586765
11,3819.01,1.16374,1.36533,1.32417,0.71112,0.5181,0.58298,0.33861,1.29089,1.35961,1.323,0.000572628,0.000572628,0.000572628
12,4146.95,1.16017,1.34172,1.31172,0.73658,0.52635,0.59661,0.35067,1.27076,1.30172,1.31173,0.000558491,0.000558491,0.000558491
13,4475.05,1.1384,1.3077,1.30862,0.74058,0.53838,0.60934,0.36312,1.25129,1.22775,1.28377,0.000544354,0.000544354,0.000544354
14,4806.33,1.1327,1.30138,1.30753,0.75412,0.53584,0.60769,0.35895,1.27978,1.23303,1.29147,0.000530216,0.000530216,0.000530216
15,5134.09,1.13225,1.2732,1.29404,0.74747,0.56023,0.63129,0.38107,1.21269,1.16914,1.25645,0.000516079,0.000516079,0.000516079
16,5459.31,1.10422,1.23932,1.28763,0.76318,0.56181,0.63409,0.38606,1.20157,1.16532,1.24551,0.000501942,0.000501942,0.000501942
17,5788.28,1.10531,1.20292,1.27354,0.75459,0.56303,0.63219,0.37966,1.21273,1.14264,1.25377,0.000487805,0.000487805,0.000487805
18,6119.95,1.0883,1.18838,1.27208,0.78479,0.56518,0.64178,0.38575,1.21968,1.12315,1.26422,0.000473668,0.000473668,0.000473668
19,6458.16,1.08861,1.17895,1.26949,0.77285,0.57248,0.64406,0.39138,1.22139,1.09214,1.25631,0.00045953,0.00045953,0.00045953
20,6794.12,1.08448,1.17011,1.2672,0.77584,0.57405,0.6478,0.39794,1.19722,1.10312,1.2409,0.000445393,0.000445393,0.000445393
